"ID"	"A"	"B"	"C"	"Y"
79	79	-0.9	0.5	-0.4
80	80	-0.11	9	8.89
81	81	0.78	-0.81	-0.03
82	82	0.95	0.33	1.28
83	83	0.25	3.88	4.13
84	84	-0.68	-1.08	-1.76
85	85	-0.98	0.18	-0.81
86	86	-0.38	2.41	2.02
87	87	0.57	-1.44	-0.87
88	88	1	0.04	1.03
89	89	0.51	1.69	2.2
90	90	-0.45	-2	-2.44
91	91	-0.99	-0.11	-1.1
92	92	-0.63	1.24	0.62
93	93	0.32	-2.99	-2.67
94	94	0.97	-0.25	0.72
95	95	0.73	0.94	1.67
96	96	-0.18	-5.45	-5.63
97	97	-0.93	-0.41	-1.34
98	98	-0.82	0.7	-0.12
99	99	0.04	-25.09	-25.05
100	100	0.86	-0.59	0.28
101	101	0.89	0.51	1.4
102	102	0.1	9.79	9.89
103	103	-0.78	-0.8	-1.58
104	104	-0.95	0.34	-0.61
105	105	-0.24	4.03	3.79
106	106	0.69	-1.06	-0.37
107	107	0.98	0.19	1.17
108	108	0.38	2.47	2.84
109	109	-0.58	-1.42	-1.99
110	110	-1	0.04	-0.95
111	111	-0.5	1.72	1.22
112	112	0.46	-1.95	-1.5
113	113	1	-0.1	0.9
114	114	0.62	1.27	1.89
115	115	-0.33	-2.9	-3.23
116	116	-0.97	-0.24	-1.22
117	117	-0.72	0.95	0.23
118	118	0.19	-5.19	-5
119	119	0.93	-0.4	0.53
120	120	0.81	0.71	1.53
121	121	-0.05	-20.52	-20.57
122	122	-0.87	-0.58	-1.44
123	123	-0.89	0.52	-0.37
124	124	-0.09	10.73	10.64
125	125	0.79	-0.78	0.01
126	126	0.94	0.35	1.29
127	127	0.23	4.19	4.42
128	128	-0.69	-1.04	-1.73
129	129	-0.98	0.2	-0.78
130	130	-0.37	2.53	2.17
131	131	0.58	-1.39	-0.81
132	132	1	0.05	1.05
133	133	0.49	1.76	2.25
134	134	-0.46	-1.91	-2.37
135	135	-1	-0.09	-1.08
136	136	-0.61	1.29	0.68
137	137	0.33	-2.82	-2.49
138	138	0.97	-0.23	0.74
139	139	0.72	0.97	1.69
140	140	-0.2	-4.96	-5.15
141	141	-0.93	-0.39	-1.32
142	142	-0.81	0.73	-0.08
143	143	0.06	-17.36	-17.3
144	144	0.87	-0.56	0.31
145	145	0.88	0.53	1.41
146	146	0.08	11.87	11.95
147	147	-0.79	-0.77	-1.56
148	148	-0.94	0.36	-0.58
149	149	-0.22	4.36	4.13
150	150	0.7	-1.02	-0.32
151	151	0.98	0.21	1.19
152	152	0.36	2.6	2.96
153	153	-0.59	-1.36	-1.95
154	154	-1	0.06	-0.94
155	155	-0.49	1.79	1.31
156	156	0.47	-1.87	-1.4
157	157	1	-0.08	0.92
158	158	0.61	1.31	1.92
159	159	-0.34	-2.74	-3.09
160	160	-0.98	-0.22	-1.2
161	161	-0.71	0.99	0.28
162	162	0.21	-4.74	-4.53
163	163	0.93	-0.38	0.56
164	164	0.8	0.74	1.54
165	165	-0.07	-15.04	-15.11
166	166	-0.88	-0.55	-1.43
167	167	-0.88	0.54	-0.34
168	168	-0.08	13.27	13.2
169	169	0.8	-0.75	0.04
170	170	0.94	0.37	1.31
171	171	0.22	4.54	4.76
172	172	-0.71	-1	-1.71
173	173	-0.98	0.22	-0.76
174	174	-0.35	2.67	2.32
175	175	0.6	-1.34	-0.74
176	176	1	0.07	1.07
177	177	0.48	1.83	2.31
178	178	-0.48	-1.83	-2.31
179	179	-1	-0.07	-1.07
180	180	-0.6	1.34	0.74
181	181	0.35	-2.67	-2.32
182	182	0.98	-0.22	0.76
183	183	0.71	1	1.71
184	184	-0.22	-4.54	-4.75
185	185	-0.94	-0.37	-1.31
186	186	-0.8	0.75	-0.04
187	187	0.08	-13.27	-13.19
188	188	0.88	-0.54	0.34
189	189	0.88	0.55	1.43
190	190	0.07	15.05	15.11
191	191	-0.8	-0.74	-1.54
192	192	-0.93	0.38	-0.56
193	193	-0.21	4.74	4.53
194	194	0.71	-0.99	-0.27
195	195	0.98	0.22	1.2
196	196	0.34	2.74	3.09
197	197	-0.61	-1.31	-1.92
198	198	-1	0.08	-0.92
199	199	-0.47	1.87	1.4
200	200	0.49	-1.79	-1.31
201	201	1	-0.06	0.94
202	202	0.59	1.36	1.96
203	203	-0.36	-2.6	-2.96
204	204	-0.98	-0.21	-1.19
205	205	-0.7	1.02	0.32
206	206	0.22	-4.36	-4.13
207	207	0.94	-0.36	0.58
208	208	0.79	0.77	1.56
209	209	-0.08	-11.86	-11.95
210	210	-0.88	-0.53	-1.41
211	211	-0.87	0.56	-0.31
212	212	-0.06	17.37	17.31
213	213	0.81	-0.73	0.08
214	214	0.93	0.39	1.32
215	215	0.2	4.96	5.15
216	216	-0.72	-0.97	-1.69
217	217	-0.97	0.23	-0.74
218	218	-0.33	2.82	2.49
219	219	0.61	-1.29	-0.68
220	220	1	0.09	1.08
221	221	0.46	1.91	2.37
222	222	-0.49	-1.76	-2.25
223	223	-1	-0.05	-1.05
224	224	-0.58	1.39	0.81
225	225	0.37	-2.53	-2.16
226	226	0.98	-0.2	0.78
227	227	0.69	1.04	1.73
228	228	-0.23	-4.19	-4.42
229	229	-0.94	-0.35	-1.29
230	230	-0.79	0.78	-0.01
231	231	0.09	-10.73	-10.64
232	232	0.89	-0.52	0.37
233	233	0.87	0.58	1.44
234	234	0.05	20.54	20.59
235	235	-0.81	-0.71	-1.53
236	236	-0.93	0.4	-0.53
237	237	-0.19	5.19	5
238	238	0.72	-0.95	-0.23
239	239	0.97	0.24	1.22
240	240	0.33	2.9	3.23
241	241	-0.62	-1.27	-1.89
242	242	-1	0.1	-0.9
243	243	-0.46	1.95	1.5
244	244	0.5	-1.72	-1.22
245	245	1	-0.04	0.95
246	246	0.58	1.42	1.99
247	247	-0.38	-2.47	-2.84
248	248	-0.98	-0.19	-1.17
249	249	-0.69	1.06	0.37
250	250	0.24	-4.03	-3.79
251	251	0.95	-0.34	0.61
252	252	0.78	0.8	1.58
253	253	-0.1	-9.79	-9.89
254	254	-0.89	-0.51	-1.4
255	255	-0.86	0.59	-0.28
256	256	-0.04	25.11	25.07
257	257	0.82	-0.7	0.12
258	258	0.93	0.41	1.34
259	259	0.18	5.45	5.63
260	260	-0.73	-0.94	-1.67
261	261	-0.97	0.25	-0.72
262	262	-0.32	2.99	2.67
263	263	0.63	-1.24	-0.62
264	264	0.99	0.11	1.1
265	265	0.45	2	2.44
266	266	-0.51	-1.69	-2.2
267	267	-1	-0.04	-1.03
268	268	-0.57	1.44	0.87
269	269	0.38	-2.41	-2.02
270	270	0.98	-0.18	0.81
271	271	0.68	1.08	1.76
272	272	-0.25	-3.88	-4.13
273	273	-0.95	-0.33	-1.28
274	274	-0.78	0.81	0.03
275	275	0.11	-9	-8.89
276	276	0.9	-0.5	0.4
277	277	0.86	0.6	1.46
278	278	0.03	32.3	32.33
279	279	-0.82	-0.69	-1.51
280	280	-0.92	0.42	-0.5
281	281	-0.17	5.74	5.57
282	282	0.74	-0.92	-0.18
283	283	0.97	0.26	1.23
284	284	0.31	3.08	3.39
285	285	-0.63	-1.22	-1.86
286	286	-0.99	0.12	-0.88
287	287	-0.44	2.04	1.6
288	288	0.52	-1.65	-1.13
289	289	1	-0.03	0.97
290	290	0.56	1.47	2.03
291	291	-0.39	-2.35	-2.74
292	292	-0.99	-0.17	-1.16
293	293	-0.67	1.1	0.42
294	294	0.26	-3.74	-3.48
295	295	0.95	-0.32	0.63
296	296	0.77	0.83	1.6
297	297	-0.12	-8.33	-8.45
298	298	-0.9	-0.48	-1.38
299	299	-0.85	0.61	-0.24
300	300	-0.02	45.24	45.22
301	301	0.83	-0.67	0.16
302	302	0.92	0.43	1.35
303	303	0.16	6.05	6.22
304	304	-0.74	-0.9	-1.65
305	305	-0.96	0.27	-0.69
306	306	-0.3	3.17	2.87
307	307	0.64	-1.2	-0.56
308	308	0.99	0.12	1.12
309	309	0.43	2.09	2.52
310	310	-0.53	-1.62	-2.15
311	311	-1	-0.02	-1.02
312	312	-0.56	1.5	0.94
313	313	0.4	-2.29	-1.89
314	314	0.99	-0.16	0.83
315	315	0.67	1.12	1.78
316	316	-0.27	-3.61	-3.88
317	317	-0.96	-0.31	-1.27
318	318	-0.77	0.84	0.08
319	319	0.13	-7.75	-7.62
320	320	0.9	-0.47	0.43
321	321	0.85	0.62	1.47
322	322	0.01	75.48	75.5
323	323	-0.83	-0.66	-1.5
324	324	-0.91	0.44	-0.47
325	325	-0.15	6.41	6.25
326	326	0.75	-0.89	-0.14
327	327	0.96	0.28	1.24
328	328	0.29	3.27	3.57
329	329	-0.65	-1.18	-1.83
330	330	-0.99	0.13	-0.86
331	331	-0.42	2.14	1.71
332	332	0.53	-1.59	-1.06
333	333	1	-0.01	0.99
334	334	0.55	1.53	2.08
335	335	-0.41	-2.24	-2.65
336	336	-0.99	-0.15	-1.14
337	337	-0.66	1.14	0.48
338	338	0.28	-3.49	-3.22
339	339	0.96	-0.3	0.66
340	340	0.76	0.86	1.62
341	341	-0.14	-7.24	-7.38
342	342	-0.91	-0.46	-1.37
343	343	-0.84	0.64	-0.21
344	344	0	227.5	227.5
345	345	0.84	-0.65	0.19
346	346	0.91	0.45	1.36
347	347	0.15	6.8	6.95
348	348	-0.75	-0.87	-1.63
349	349	-0.96	0.29	-0.67
350	350	-0.28	3.38	3.1
351	351	0.65	-1.16	-0.5
352	352	0.99	0.14	1.13
353	353	0.42	2.19	2.6
354	354	-0.54	-1.56	-2.1
355	355	-1	0	-1
356	356	-0.54	1.56	1.02
357	357	0.42	-2.18	-1.77
358	358	0.99	-0.14	0.85
359	359	0.65	1.16	1.81
360	360	-0.28	-3.38	-3.66
361	361	-0.96	-0.29	-1.25
362	362	-0.75	0.87	0.12
363	363	0.15	-6.8	-6.65
364	364	0.91	-0.45	0.46
365	365	0.84	0.65	1.49
366	366	0	-224.42	-224.43
367	367	-0.84	-0.64	-1.48
368	368	-0.91	0.46	-0.44
369	369	-0.14	7.25	7.11
370	370	0.76	-0.86	-0.1
371	371	0.96	0.3	1.26
372	372	0.28	3.49	3.77
373	373	-0.66	-1.14	-1.8
374	374	-0.99	0.15	-0.84
375	375	-0.41	2.24	1.83
376	376	0.55	-1.53	-0.98
377	377	1	0.01	1.01
378	378	0.53	1.59	2.12
379	379	-0.42	-2.13	-2.56
380	380	-0.99	-0.13	-1.12
381	381	-0.65	1.18	0.53
382	382	0.29	-3.27	-2.98
383	383	0.96	-0.28	0.68
384	384	0.75	0.89	1.64
385	385	-0.15	-6.4	-6.56
386	386	-0.91	-0.44	-1.36
387	387	-0.83	0.66	-0.17
388	388	0.01	-75.14	-75.13
389	389	0.85	-0.62	0.23
390	390	0.9	0.47	1.38
391	391	0.13	7.75	7.88
392	392	-0.77	-0.84	-1.61
393	393	-0.96	0.31	-0.64
394	394	-0.27	3.61	3.35
395	395	0.67	-1.12	-0.45
396	396	0.99	0.16	1.15
397	397	0.4	2.29	2.69
398	398	-0.56	-1.5	-2.05
399	399	-1	0.02	-0.98
400	400	-0.53	1.62	1.09
401	401	0.43	-2.09	-1.65
402	402	0.99	-0.12	0.87
403	403	0.64	1.2	1.84
404	404	-0.3	-3.17	-3.47
405	405	-0.96	-0.27	-1.24
406	406	-0.74	0.9	0.16
407	407	0.16	-6.05	-5.89
408	408	0.92	-0.43	0.49
409	409	0.83	0.67	1.5
410	410	-0.02	-45.12	-45.14
411	411	-0.85	-0.61	-1.46
412	412	-0.9	0.48	-0.42
413	413	-0.12	8.33	8.21
414	414	0.77	-0.83	-0.05
415	415	0.95	0.32	1.27
416	416	0.26	3.74	4
417	417	-0.67	-1.1	-1.77
418	418	-0.99	0.17	-0.82
419	419	-0.39	2.35	1.96
420	420	0.56	-1.47	-0.91
421	421	1	0.03	1.03
422	422	0.52	1.65	2.17
423	423	-0.44	-2.04	-2.48
424	424	-0.99	-0.12	-1.11
425	425	-0.63	1.22	0.59
426	426	0.31	-3.08	-2.77
427	427	0.97	-0.26	0.7
428	428	0.74	0.92	1.66
429	429	-0.17	-5.74	-5.91
430	430	-0.92	-0.42	-1.34
431	431	-0.82	0.69	-0.14
432	432	0.03	-32.24	-32.21
433	433	0.86	-0.6	0.26
434	434	0.9	0.5	1.39
435	435	0.11	9.01	9.12
436	436	-0.78	-0.81	-1.59
437	437	-0.95	0.33	-0.62
438	438	-0.25	3.88	3.63
439	439	0.68	-1.08	-0.4
440	440	0.98	0.18	1.16
441	441	0.38	2.41	2.79
442	442	-0.57	-1.44	-2.01
443	443	-1	0.04	-0.96
444	444	-0.51	1.69	1.18
445	445	0.45	-2	-1.55
446	446	0.99	-0.11	0.89
447	447	0.63	1.24	1.87
448	448	-0.32	-2.99	-3.3
449	449	-0.97	-0.25	-1.22
450	450	-0.73	0.94	0.21
451	451	0.18	-5.45	-5.27
452	452	0.93	-0.41	0.51
453	453	0.82	0.7	1.52
454	454	-0.04	-25.07	-25.11
455	455	-0.86	-0.59	-1.45
456	456	-0.89	0.51	-0.39
457	457	-0.1	9.8	9.69
458	458	0.78	-0.8	-0.01
459	459	0.95	0.34	1.29
460	460	0.24	4.03	4.27
461	461	-0.69	-1.06	-1.75
462	462	-0.98	0.19	-0.79
463	463	-0.38	2.47	2.09
464	464	0.58	-1.42	-0.84
465	465	1	0.04	1.04
466	466	0.5	1.72	2.22
467	467	-0.46	-1.95	-2.41
468	468	-1	-0.1	-1.09
469	469	-0.62	1.27	0.65
470	470	0.33	-2.9	-2.58
471	471	0.97	-0.24	0.73
472	472	0.72	0.95	1.68
473	473	-0.19	-5.19	-5.38
474	474	-0.93	-0.4	-1.33
475	475	-0.81	0.71	-0.1
476	476	0.05	-20.51	-20.46
477	477	0.87	-0.58	0.29
478	478	0.89	0.52	1.41
479	479	0.09	10.74	10.83
480	480	-0.79	-0.78	-1.57
481	481	-0.94	0.35	-0.59
482	482	-0.23	4.19	3.95
483	483	0.69	-1.04	-0.35
484	484	0.98	0.2	1.18
485	485	0.37	2.53	2.9
486	486	-0.58	-1.39	-1.97
487	487	-1	0.05	-0.95
488	488	-0.49	1.76	1.26
489	489	0.46	-1.91	-1.45
490	490	1	-0.09	0.91
491	491	0.61	1.29	1.9
492	492	-0.33	-2.82	-3.15
493	493	-0.97	-0.23	-1.21
494	494	-0.72	0.97	0.25
495	495	0.2	-4.95	-4.76
496	496	0.93	-0.39	0.54
497	497	0.81	0.73	1.54
498	498	-0.06	-17.35	-17.41
499	499	-0.87	-0.56	-1.43
500	500	-0.88	0.53	-0.35
501	501	-0.08	11.87	11.79
502	502	0.79	-0.77	0.03
503	503	0.94	0.36	1.3
504	504	0.22	4.36	4.58
505	505	-0.7	-1.02	-1.72
506	506	-0.98	0.21	-0.77
507	507	-0.36	2.6	2.24
508	508	0.59	-1.36	-0.77
509	509	1	0.06	1.06
510	510	0.49	1.79	2.28
511	511	-0.47	-1.87	-2.34
512	512	-1	-0.08	-1.08
513	513	-0.61	1.31	0.71
514	514	0.34	-2.74	-2.4
515	515	0.98	-0.22	0.75
516	516	0.71	0.99	1.7
517	517	-0.21	-4.74	-4.94
518	518	-0.93	-0.38	-1.31
519	519	-0.8	0.74	-0.06
520	520	0.07	-15.03	-14.97
521	521	0.88	-0.55	0.32
522	522	0.88	0.54	1.42
523	523	0.08	13.28	13.35
524	524	-0.8	-0.75	-1.55
525	525	-0.94	0.37	-0.57
526	526	-0.22	4.54	4.33
527	527	0.71	-1	-0.3
528	528	0.98	0.22	1.19
529	529	0.35	2.67	3.02
530	530	-0.6	-1.34	-1.94
531	531	-1	0.07	-0.93
532	532	-0.48	1.83	1.35
533	533	0.48	-1.83	-1.35
534	534	1	-0.07	0.93
535	535	0.6	1.34	1.94
536	536	-0.35	-2.67	-3.02
537	537	-0.98	-0.22	-1.19
538	538	-0.71	1	0.3
539	539	0.22	-4.54	-4.32
540	540	0.94	-0.37	0.57
541	541	0.8	0.75	1.55
542	542	-0.08	-13.26	-13.34
543	543	-0.88	-0.54	-1.42
544	544	-0.88	0.55	-0.32
545	545	-0.07	15.06	14.99
546	546	0.8	-0.74	0.06
547	547	0.93	0.38	1.31
548	548	0.21	4.74	4.95
549	549	-0.71	-0.99	-1.7
550	550	-0.98	0.22	-0.75
551	551	-0.34	2.74	2.4
552	552	0.61	-1.31	-0.71
553	553	1	0.08	1.08
554	554	0.47	1.87	2.34
555	555	-0.49	-1.79	-2.28
556	556	-1	-0.06	-1.06
557	557	-0.59	1.36	0.77
558	558	0.36	-2.6	-2.24
559	559	0.98	-0.21	0.77
560	560	0.7	1.02	1.72
561	561	-0.22	-4.35	-4.58
562	562	-0.94	-0.36	-1.3
563	563	-0.79	0.77	-0.03
564	564	0.08	-11.86	-11.78
565	565	0.88	-0.53	0.35
566	566	0.87	0.56	1.43
567	567	0.06	17.38	17.44
568	568	-0.81	-0.73	-1.54
569	569	-0.93	0.39	-0.54
570	570	-0.2	4.96	4.76
571	571	0.72	-0.97	-0.25
572	572	0.97	0.23	1.21
573	573	0.33	2.82	3.16
574	574	-0.61	-1.29	-1.9
575	575	-1	0.09	-0.91
576	576	-0.46	1.91	1.45
577	577	0.49	-1.76	-1.26
578	578	1	-0.05	0.95
579	579	0.58	1.39	1.97
580	580	-0.37	-2.53	-2.9
581	581	-0.98	-0.2	-1.18
582	582	-0.69	1.04	0.35
583	583	0.23	-4.18	-3.95
584	584	0.94	-0.35	0.59
585	585	0.79	0.78	1.57
586	586	-0.09	-10.73	-10.82
587	587	-0.89	-0.52	-1.41
588	588	-0.87	0.58	-0.29
589	589	-0.05	20.55	20.5
590	590	0.81	-0.71	0.1
591	591	0.93	0.4	1.33
592	592	0.19	5.19	5.38
593	593	-0.72	-0.95	-1.68
594	594	-0.97	0.24	-0.73
595	595	-0.33	2.9	2.58
596	596	0.62	-1.27	-0.65
597	597	1	0.1	1.09
598	598	0.46	1.95	2.41
599	599	-0.5	-1.72	-2.22
600	600	-1	-0.04	-1.04
601	601	-0.58	1.42	0.84
602	602	0.38	-2.47	-2.09
603	603	0.98	-0.19	0.79
604	604	0.69	1.06	1.75
605	605	-0.24	-4.03	-4.27
606	606	-0.95	-0.34	-1.29
607	607	-0.78	0.8	0.01
608	608	0.1	-9.79	-9.69
609	609	0.89	-0.51	0.39
610	610	0.86	0.59	1.45
611	611	0.04	25.13	25.17
612	612	-0.82	-0.7	-1.52
613	613	-0.93	0.41	-0.51
614	614	-0.18	5.45	5.27
615	615	0.73	-0.94	-0.21
616	616	0.97	0.25	1.22
617	617	0.32	2.99	3.31
618	618	-0.63	-1.24	-1.87
619	619	-0.99	0.11	-0.89
620	620	-0.45	2	1.55
621	621	0.51	-1.69	-1.18
622	622	1	-0.04	0.96
623	623	0.57	1.44	2.01
624	624	-0.38	-2.41	-2.79
625	625	-0.98	-0.18	-1.16
626	626	-0.68	1.08	0.4
627	627	0.25	-3.88	-3.63
628	628	0.95	-0.33	0.62
629	629	0.78	0.81	1.59
630	630	-0.11	-9	-9.11
631	631	-0.9	-0.5	-1.39
632	632	-0.86	0.6	-0.26
633	633	-0.03	32.33	32.3
634	634	0.82	-0.69	0.14
635	635	0.92	0.42	1.34
636	636	0.17	5.74	5.91
637	637	-0.74	-0.92	-1.66
638	638	-0.97	0.26	-0.7
639	639	-0.31	3.08	2.77
640	640	0.63	-1.22	-0.59
641	641	0.99	0.12	1.11
642	642	0.44	2.04	2.48
643	643	-0.52	-1.65	-2.17
644	644	-1	-0.03	-1.03
645	645	-0.56	1.47	0.91
646	646	0.39	-2.35	-1.96
647	647	0.99	-0.17	0.82
648	648	0.67	1.1	1.77
649	649	-0.26	-3.74	-4
650	650	-0.95	-0.32	-1.27
651	651	-0.77	0.83	0.05
652	652	0.12	-8.33	-8.21
653	653	0.9	-0.48	0.42
654	654	0.85	0.61	1.46
655	655	0.02	45.31	45.33
656	656	-0.83	-0.67	-1.5
657	657	-0.92	0.43	-0.49
658	658	-0.16	6.06	5.89
659	659	0.74	-0.9	-0.16
660	660	0.96	0.27	1.24
661	661	0.3	3.17	3.47
662	662	-0.64	-1.2	-1.84
663	663	-0.99	0.12	-0.87
664	664	-0.43	2.09	1.65
665	665	0.53	-1.62	-1.09
666	666	1	-0.02	0.98
667	667	0.56	1.5	2.05
668	668	-0.4	-2.29	-2.69
669	669	-0.99	-0.16	-1.15
670	670	-0.67	1.12	0.45
671	671	0.27	-3.61	-3.35
672	672	0.96	-0.31	0.64
673	673	0.77	0.84	1.61
674	674	-0.13	-7.75	-7.87
675	675	-0.9	-0.47	-1.38
676	676	-0.85	0.62	-0.22
677	677	-0.01	75.66	75.64
678	678	0.83	-0.66	0.17
679	679	0.91	0.44	1.36
680	680	0.15	6.41	6.56
681	681	-0.75	-0.89	-1.64
682	682	-0.96	0.28	-0.68
683	683	-0.29	3.27	2.98
684	684	0.65	-1.18	-0.53
685	685	0.99	0.13	1.12
686	686	0.42	2.14	2.56
687	687	-0.53	-1.59	-2.12
688	688	-1	-0.01	-1.01
689	689	-0.55	1.53	0.98
690	690	0.41	-2.24	-1.83
691	691	0.99	-0.15	0.84
692	692	0.66	1.14	1.8
693	693	-0.28	-3.49	-3.77
694	694	-0.96	-0.3	-1.26
695	695	-0.76	0.86	0.1
696	696	0.14	-7.24	-7.1
697	697	0.91	-0.46	0.44
698	698	0.84	0.64	1.48
699	699	0	229.07	229.08
700	700	-0.84	-0.65	-1.49
701	701	-0.91	0.45	-0.46
702	702	-0.15	6.8	6.66
703	703	0.75	-0.87	-0.12
704	704	0.96	0.29	1.25
705	705	0.28	3.38	3.66
706	706	-0.65	-1.16	-1.81
707	707	-0.99	0.14	-0.85
708	708	-0.42	2.19	1.77
709	709	0.54	-1.56	-1.02
710	710	1	0	1
711	711	0.54	1.56	2.1
712	712	-0.42	-2.18	-2.6
713	713	-0.99	-0.14	-1.13
714	714	-0.65	1.16	0.5
715	715	0.28	-3.38	-3.1
716	716	0.96	-0.29	0.67
717	717	0.75	0.87	1.63
718	718	-0.15	-6.8	-6.94
719	719	-0.91	-0.45	-1.36
720	720	-0.84	0.65	-0.19
721	721	0	-222.91	-222.91
722	722	0.84	-0.64	0.21
723	723	0.91	0.46	1.37
724	724	0.14	7.25	7.38
725	725	-0.76	-0.86	-1.62
726	726	-0.96	0.3	-0.66
727	727	-0.28	3.49	3.22
728	728	0.66	-1.14	-0.48
729	729	0.99	0.15	1.14
730	730	0.41	2.24	2.65
731	731	-0.55	-1.53	-2.08
732	732	-1	0.01	-0.99
733	733	-0.53	1.59	1.06
734	734	0.42	-2.13	-1.71
735	735	0.99	-0.13	0.86
736	736	0.65	1.18	1.83
737	737	-0.29	-3.27	-3.57
738	738	-0.96	-0.28	-1.24
739	739	-0.75	0.89	0.14
740	740	0.15	-6.4	-6.25
741	741	0.91	-0.44	0.47
742	742	0.83	0.66	1.5
743	743	-0.01	-74.97	-74.99
744	744	-0.85	-0.62	-1.47
745	745	-0.9	0.47	-0.43
746	746	-0.13	7.75	7.63
747	747	0.77	-0.84	-0.08
748	748	0.96	0.31	1.27
749	749	0.27	3.62	3.88
750	750	-0.67	-1.12	-1.78
751	751	-0.99	0.16	-0.83
752	752	-0.4	2.29	1.89
753	753	0.56	-1.5	-0.94
754	754	1	0.02	1.02
755	755	0.53	1.62	2.15
756	756	-0.43	-2.09	-2.52
757	757	-0.99	-0.12	-1.12
758	758	-0.64	1.2	0.56
759	759	0.3	-3.17	-2.87
760	760	0.96	-0.27	0.69
761	761	0.74	0.9	1.65
762	762	-0.16	-6.05	-6.21
763	763	-0.92	-0.43	-1.35
764	764	-0.83	0.67	-0.16
765	765	0.02	-45.06	-45.04
766	766	0.85	-0.61	0.24
767	767	0.9	0.48	1.38
768	768	0.12	8.34	8.45
769	769	-0.77	-0.83	-1.6
770	770	-0.95	0.32	-0.63
771	771	-0.26	3.74	3.49
772	772	0.67	-1.1	-0.42
773	773	0.99	0.17	1.16
774	774	0.39	2.35	2.74
775	775	-0.56	-1.47	-2.03
776	776	-1	0.03	-0.97
777	777	-0.52	1.65	1.13
778	778	0.44	-2.04	-1.6
779	779	0.99	-0.12	0.88
780	780	0.63	1.22	1.86
781	781	-0.31	-3.08	-3.39
782	782	-0.97	-0.26	-1.23
783	783	-0.74	0.92	0.18
784	784	0.17	-5.73	-5.56
785	785	0.92	-0.42	0.5
786	786	0.82	0.69	1.51
787	787	-0.03	-32.21	-32.24
788	788	-0.86	-0.6	-1.46
789	789	-0.9	0.5	-0.4
790	790	-0.11	9.01	8.9
791	791	0.78	-0.81	-0.03
792	792	0.95	0.33	1.28
793	793	0.25	3.88	4.13
794	794	-0.68	-1.08	-1.76
795	795	-0.98	0.18	-0.81
796	796	-0.38	2.41	2.02
797	797	0.57	-1.44	-0.87
798	798	1	0.04	1.03
799	799	0.51	1.69	2.2
800	800	-0.45	-1.99	-2.44
801	801	-0.99	-0.11	-1.1
802	802	-0.63	1.24	0.62
803	803	0.32	-2.99	-2.67
804	804	0.97	-0.25	0.72
805	805	0.73	0.94	1.67
